,Date,S&P 500,Consumer Discretionary,Consumer Staples,Health Care,Industrials,Information Technology,Materials,Real Estate,Communication Services,Utilities,Financials,Energy
5060,2020-02-13,3373.93994140625,1044.3299560546875,663.47998046875,1207.9300537109375,713.219970703125,1779.6800537109375,379.80999755859375,256.8699951171875,191.30999755859375,354.0400085449219,515.780029296875,413.1499938964844
5061,2020-02-14,3380.159912109375,1042.5400390625,665.3499755859375,1209.530029296875,712.7999877929688,1788.469970703125,380.0299987792969,259.7099914550781,191.5,356.3299865722656,516.1799926757812,409.82000732421875
5062,2020-02-18,3370.2900390625,1043.3900146484375,662.6099853515625,1205.0799560546875,708.7999877929688,1782.22998046875,379.1700134277344,259.30999755859375,192.25999450683594,359.1300048828125,511.6000061035156,406.4200134277344
5063,2020-02-19,3386.14990234375,1048.280029296875,662.0599975585938,1210.550048828125,708.4199829101562,1801.6099853515625,379.9200134277344,255.77999877929688,192.97000122070312,355.20001220703125,515.3699951171875,411.7900085449219
5064,2020-02-20,3373.22998046875,1048.1600341796875,662.72998046875,1203.030029296875,707.25,1783.4200439453125,380.42999267578125,258.7300109863281,191.8000030517578,356.32000732421875,514.7000122070312,411.1099853515625
5065,2020-02-21,3337.75,1031.02001953125,664.5700073242188,1203.4100341796875,704.1199951171875,1743.280029296875,378.9100036621094,259.7099914550781,189.1199951171875,355.6700134277344,509.70001220703125,405.92999267578125
5066,2020-02-24,3225.889892578125,994.6400146484375,648.0599975585938,1164.1400146484375,683.1500244140625,1670.3199462890625,368.0799865722656,256.2300109863281,182.85000610351562,351.5400085449219,493.010009765625,386.70001220703125
5067,2020-02-25,3128.2099609375,968.72998046875,636.72998046875,1129.7900390625,655.6300048828125,1617.1800537109375,352.25,249.63999938964844,178.4499969482422,343.92999267578125,476.2200012207031,369.9200134277344
5068,2020-02-26,3116.389892578125,962.010009765625,633.6300048828125,1128.6300048828125,650.4199829101562,1623.6300048828125,351.04998779296875,247.4499969482422,178.0800018310547,340.6099853515625,473.010009765625,358.94000244140625
5069,2020-02-27,2978.760009765625,922.8800048828125,607.8599853515625,1091.030029296875,625.7899780273438,1537.1199951171875,334.70001220703125,233.6199951171875,170.8699951171875,324.6300048828125,452.3299865722656,339.29998779296875
5070,2020-02-28,2954.219970703125,915.77001953125,595.2100219726562,1075.6600341796875,618.3900146484375,1549.239990234375,330.6700134277344,227.6999969482422,171.25,313.8500061035156,440.70001220703125,343.5299987792969
5071,2020-03-02,3090.22998046875,947.780029296875,627.8400268554688,1127.5699462890625,635.4000244140625,1637.6099853515625,344.3800048828125,239.2100067138672,177.38999938964844,332.25,462.1600036621094,353.67999267578125
5072,2020-03-03,3003.3701171875,925.780029296875,619.6199951171875,1098.8800048828125,619.969970703125,1575.47998046875,341.7799987792969,238.9600067138672,171.49000549316406,328.3800048828125,444.9200134277344,342.6400146484375
5073,2020-03-04,3130.1201171875,957.3800048828125,650.1300048828125,1162.75,645.9500122070312,1642.97998046875,355.489990234375,248.49000549316406,177.6300048828125,347.07000732421875,459.54998779296875,350.25
5074,2020-03-05,3023.93994140625,921.3300170898438,637.1799926757812,1134.9000244140625,613.9099731445312,1590.22998046875,344.04998779296875,242.6300048828125,171.05999755859375,341.4100036621094,437.1199951171875,337.5899963378906
5075,2020-03-06,2972.3701171875,908.2999877929688,632.2899780273438,1129.02001953125,608.4000244140625,1557.9300537109375,335.0199890136719,238.52000427246094,168.92999267578125,338.7799987792969,422.739990234375,318.6400146484375
5076,2020-03-09,2746.56005859375,852.1300048828125,604.4099731445312,1070.43994140625,552.4099731445312,1440.199951171875,303.989990234375,221.47000122070312,158.44000244140625,319.6700134277344,376.6000061035156,254.64999389648438
5077,2020-03-10,2882.22998046875,897.97998046875,622.0900268554688,1107.5699462890625,581.22998046875,1535.18994140625,315.95001220703125,232.52000427246094,165.6199951171875,322.8999938964844,399.3500061035156,267.3699951171875
5078,2020-03-11,2741.3798828125,849.8400268554688,591.6400146484375,1064.27001953125,546.6799926757812,1463.0,300.8999938964844,219.8699951171875,158.4499969482422,306.44000244140625,377.29998779296875,252.77000427246094
5079,2020-03-12,2480.639892578125,766.5999755859375,537.0,985.4000244140625,490.2200012207031,1319.0999755859375,271.9700012207031,200.75,144.3300018310547,275.20001220703125,336.6600036621094,221.69000244140625
5080,2020-03-13,2711.02001953125,813.239990234375,582.1599731445312,1053.9200439453125,528.5999755859375,1476.9100341796875,290.7799987792969,218.0800018310547,157.61000061035156,290.4800109863281,381.20001220703125,241.2899932861328
5081,2020-03-16,2386.1298828125,714.97998046875,541.4500122070312,948.6099853515625,468.1000061035156,1271.4000244140625,257.5199890136719,181.99000549316406,141.14999389648438,256.95001220703125,327.8699951171875,208.41000366210938
5082,2020-03-17,2529.18994140625,743.780029296875,586.9000244140625,1007.9500122070312,487.75,1357.530029296875,274.6600036621094,194.6199951171875,146.77999877929688,290.6400146484375,346.7799987792969,209.9199981689453
5083,2020-03-18,2398.10009765625,707.1300048828125,568.9099731445312,973.7100219726562,452.8599853515625,1295.22998046875,257.739990234375,180.10000610351562,142.64999389648438,277.1600036621094,316.1000061035156,179.94000244140625
5084,2020-03-19,2409.389892578125,731.1900024414062,552.3699951171875,955.5399780273438,454.3500061035156,1309.5699462890625,263.45001220703125,177.67999267578125,145.02000427246094,262.0,323.2200012207031,192.0800018310547
5085,2020-03-20,2304.919921875,711.3400268554688,516.280029296875,916.5900268554688,431.44000244140625,1251.6600341796875,254.16000366210938,167.9499969482422,138.3000030517578,240.57000732421875,312.6499938964844,193.92999267578125
5086,2020-03-23,2237.39990234375,713.8400268554688,500.95001220703125,870.989990234375,412.05999755859375,1239.3900146484375,241.6699981689453,158.6199951171875,137.75999450683594,227.75,293.54998779296875,181.02999877929688
5087,2020-03-24,2447.330078125,775.510009765625,525.1900024414062,937.0800170898438,464.6000061035156,1367.0999755859375,269.7799987792969,172.17999267578125,145.77000427246094,252.66000366210938,330.989990234375,210.55999755859375
5088,2020-03-25,2475.56005859375,784.010009765625,524.2899780273438,948.9400024414062,489.20001220703125,1363.260009765625,275.7099914550781,179.9199981689453,143.4600067138672,259.8399963378906,339.7799987792969,220.02000427246094
5089,2020-03-26,2630.070068359375,817.739990234375,554.030029296875,1015.1799926757812,520.5800170898438,1449.8199462890625,289.32000732421875,193.97000122070312,152.13999938964844,281.6300048828125,361.6199951171875,233.75999450683594
5090,2020-03-27,2541.469970703125,790.1799926757812,550.0499877929688,990.6900024414062,498.0199890136719,1383.0400390625,278.29998779296875,193.8300018310547,145.91000366210938,283.1000061035156,349.6600036621094,217.55999755859375
